20:17:49.207 INFO  manager.ApplicationManager - All tests run in Chrome
20:17:50.724 INFO  manager.ApplicationManager - The link--->https://ilcarro.web.app/search
20:17:50.748 INFO  manager.ListenerWD - Before find element By.xpath: //*[text()=' Logout ']
20:18:00.811 INFO  manager.ListenerWD - Element found success By.xpath: //*[text()=' Logout ']
20:18:00.812 INFO  manager.ListenerWD - Before find element By.xpath: //a[text()=' Log in ']
20:18:00.845 INFO  manager.ListenerWD - Element found success By.xpath: //a[text()=' Log in ']
20:18:00.859 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (91d6c491a611d50b7564695f65ab0e17)] -> xpath: //a[text()=' Log in ']]
20:18:00.955 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (91d6c491a611d50b7564695f65ab0e17)] -> xpath: //a[text()=' Log in ']]
20:18:00.955 INFO  manager.ListenerWD - Before find element By.xpath: //*[@id='email']
20:18:00.985 INFO  manager.ListenerWD - Element found success By.xpath: //*[@id='email']
20:18:00.986 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (91d6c491a611d50b7564695f65ab0e17)] -> xpath: //*[@id='email']]
20:18:01.081 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (91d6c491a611d50b7564695f65ab0e17)] -> xpath: //*[@id='email']]
20:18:01.510 INFO  manager.ListenerWD - Before find element By.xpath: //*[@id='password']
20:18:01.526 INFO  manager.ListenerWD - Element found success By.xpath: //*[@id='password']
20:18:01.527 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (91d6c491a611d50b7564695f65ab0e17)] -> xpath: //*[@id='password']]
20:18:01.624 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (91d6c491a611d50b7564695f65ab0e17)] -> xpath: //*[@id='password']]
20:18:02.001 INFO  manager.ListenerWD - Before find element By.xpath: //*[@type='submit']
20:18:02.039 INFO  manager.ListenerWD - Element found success By.xpath: //*[@type='submit']
20:18:02.040 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (91d6c491a611d50b7564695f65ab0e17)] -> xpath: //*[@type='submit']]
20:18:02.141 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (91d6c491a611d50b7564695f65ab0e17)] -> xpath: //*[@type='submit']]
20:18:02.142 INFO  manager.ListenerWD - Before find element By.xpath: //button[text()='Ok']
20:18:03.907 INFO  manager.ListenerWD - Element found success By.xpath: //button[text()='Ok']
20:18:03.908 INFO  manager.ListenerWD - Before find element By.xpath: //button[text()='Ok']
20:18:03.935 INFO  manager.ListenerWD - Element found success By.xpath: //button[text()='Ok']
20:18:03.936 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (91d6c491a611d50b7564695f65ab0e17)] -> xpath: //button[text()='Ok']]
20:18:03.995 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (91d6c491a611d50b7564695f65ab0e17)] -> xpath: //button[text()='Ok']]
20:18:04.010 INFO  tests.TestBase - test add new car success started
20:18:04.012 INFO  tests.TestBase - test data: location-'Tel Aviv, Israel', manufacture-'Kia', model-'Sportage', year-'2020', fuel-'Gas',seats-'5', car class-'C', car number-'432-232 +i',price-'50'
20:18:04.519 INFO  manager.ListenerWD - Before find element By.xpath: //a[text()=' Let the car work ']
20:18:04.553 INFO  manager.ListenerWD - Element found success By.xpath: //a[text()=' Let the car work ']
20:18:04.554 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (91d6c491a611d50b7564695f65ab0e17)] -> xpath: //a[text()=' Let the car work ']]
20:18:04.673 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (91d6c491a611d50b7564695f65ab0e17)] -> xpath: //a[text()=' Let the car work ']]
20:18:04.673 INFO  manager.ListenerWD - Before find element By.id: pickUpPlace
