20:09:16.108 INFO  manager.ApplicationManager - All tests run in Chrome
20:09:17.653 INFO  manager.ApplicationManager - The link--->https://ilcarro.web.app/search
20:09:17.671 INFO  manager.ListenerWD - Before find element By.xpath: //*[text()=' Logout ']
20:09:27.721 INFO  manager.ListenerWD - Element found success By.xpath: //*[text()=' Logout ']
20:09:27.724 INFO  manager.ListenerWD - Before find element By.xpath: //a[text()=' Log in ']
20:09:27.750 INFO  manager.ListenerWD - Element found success By.xpath: //a[text()=' Log in ']
20:09:27.760 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> xpath: //a[text()=' Log in ']]
20:09:27.832 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> xpath: //a[text()=' Log in ']]
20:09:27.835 INFO  manager.ListenerWD - Before find element By.xpath: //*[@id='email']
20:09:27.865 INFO  manager.ListenerWD - Element found success By.xpath: //*[@id='email']
20:09:27.866 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> xpath: //*[@id='email']]
20:09:27.960 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> xpath: //*[@id='email']]
20:09:28.409 INFO  manager.ListenerWD - Before find element By.xpath: //*[@id='password']
20:09:28.441 INFO  manager.ListenerWD - Element found success By.xpath: //*[@id='password']
20:09:28.442 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> xpath: //*[@id='password']]
20:09:28.527 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> xpath: //*[@id='password']]
20:09:28.841 INFO  manager.ListenerWD - Before find element By.xpath: //*[@type='submit']
20:09:28.867 INFO  manager.ListenerWD - Element found success By.xpath: //*[@type='submit']
20:09:28.868 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> xpath: //*[@type='submit']]
20:09:28.958 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> xpath: //*[@type='submit']]
20:09:28.959 INFO  manager.ListenerWD - Before find element By.xpath: //button[text()='Ok']
20:09:30.528 INFO  manager.ListenerWD - Element found success By.xpath: //button[text()='Ok']
20:09:30.529 INFO  manager.ListenerWD - Before find element By.xpath: //button[text()='Ok']
20:09:30.549 INFO  manager.ListenerWD - Element found success By.xpath: //button[text()='Ok']
20:09:30.550 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> xpath: //button[text()='Ok']]
20:09:30.621 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> xpath: //button[text()='Ok']]
20:09:30.643 INFO  tests.TestBase - test add new car success started
20:09:30.643 INFO  tests.TestBase - test data: location-'Tel Aviv, Israel', manufacture-'Kia', model-'Sportage', year-'2020', fuel-'Gas',seats-'5', car class-'C', car number-'432-232 +i',price-'50'
20:09:31.156 INFO  manager.ListenerWD - Before find element By.xpath: //a[text()=' Let the car work ']
20:09:31.191 INFO  manager.ListenerWD - Element found success By.xpath: //a[text()=' Let the car work ']
20:09:31.191 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> xpath: //a[text()=' Let the car work ']]
20:09:31.304 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> xpath: //a[text()=' Let the car work ']]
20:09:31.304 INFO  manager.ListenerWD - Before find element By.id: pickUpPlace
20:09:31.330 INFO  manager.ListenerWD - Element found success By.id: pickUpPlace
20:09:31.331 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> id: pickUpPlace]
20:09:31.399 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> id: pickUpPlace]
20:09:31.628 INFO  manager.ListenerWD - Before find element By.cssSelector: div.pac-item
20:09:32.018 INFO  manager.ListenerWD - Element found success By.cssSelector: div.pac-item
20:09:32.019 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> css selector: div.pac-item]
20:09:32.079 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> css selector: div.pac-item]
20:09:32.081 INFO  manager.ListenerWD - Before find element By.id: make
20:09:32.107 INFO  manager.ListenerWD - Element found success By.id: make
20:09:32.108 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> id: make]
20:09:32.177 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> id: make]
20:09:32.494 INFO  manager.ListenerWD - Before find element By.id: model
20:09:32.523 INFO  manager.ListenerWD - Element found success By.id: model
20:09:32.524 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> id: model]
20:09:32.620 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> id: model]
20:09:32.932 INFO  manager.ListenerWD - Before find element By.id: year
20:09:32.959 INFO  manager.ListenerWD - Element found success By.id: year
20:09:32.960 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> id: year]
20:09:33.047 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> id: year]
20:09:33.485 INFO  manager.ListenerWD - Before find element By.id: fuel
20:09:33.517 INFO  manager.ListenerWD - Element found success By.id: fuel
20:09:33.569 INFO  manager.ListenerWD - Before find element By.xpath: .//option[@value = "Gas"]
20:09:33.592 INFO  manager.ListenerWD - Element found success By.xpath: .//option[@value = "Gas"]
20:09:33.609 INFO  manager.ListenerWD - start method click [[[[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> id: fuel]] -> xpath: .//option[@value = "Gas"]]
20:09:33.654 INFO  manager.ListenerWD - done method click on: [[[[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> id: fuel]] -> xpath: .//option[@value = "Gas"]]
20:09:33.655 INFO  manager.ListenerWD - Before find element By.id: seats
20:09:33.686 INFO  manager.ListenerWD - Element found success By.id: seats
20:09:33.687 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> id: seats]
20:09:33.758 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> id: seats]
20:09:34.075 INFO  manager.ListenerWD - Before find element By.id: class
20:09:34.110 INFO  manager.ListenerWD - Element found success By.id: class
20:09:34.112 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> id: class]
20:09:34.202 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> id: class]
20:09:34.458 INFO  manager.ListenerWD - Before find element By.id: serialNumber
20:09:34.499 INFO  manager.ListenerWD - Element found success By.id: serialNumber
20:09:34.499 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> id: serialNumber]
20:09:34.583 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> id: serialNumber]
20:09:34.947 INFO  manager.ListenerWD - Before find element By.id: price
20:09:34.975 INFO  manager.ListenerWD - Element found success By.id: price
20:09:34.977 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> id: price]
20:09:35.082 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> id: price]
20:09:35.495 INFO  manager.ListenerWD - Before find element By.id: about
20:09:35.525 INFO  manager.ListenerWD - Element found success By.id: about
20:09:35.525 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> id: about]
20:09:35.601 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (028ff849f60d57c27f76e2536711479e)] -> id: about]
20:09:35.795 INFO  manager.ListenerWD - Before find element By.id: photos
20:09:35.826 INFO  manager.ListenerWD - Element found success By.id: photos
20:09:35.899 INFO  manager.ListenerWD - Before find element By.xpath: //*[@type='submit']
20:09:35.932 INFO  manager.ListenerWD - Element found success By.xpath: //*[@type='submit']
