16:21:11.151 INFO  manager.ApplicationManager - All tests run in Chrome
16:21:12.248 INFO  manager.ApplicationManager - The link--->https://ilcarro.web.app/search
16:21:12.276 INFO  manager.ListenerWD - Before find element By.cssSelector: a.logo
16:21:12.294 INFO  manager.ListenerWD - Element found success By.cssSelector: a.logo
16:21:12.297 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (a5c8aff6a733852ce27fdfade5df5b9a)] -> css selector: a.logo]
16:21:12.646 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (a5c8aff6a733852ce27fdfade5df5b9a)] -> css selector: a.logo]
16:21:12.647 INFO  manager.ListenerWD - Before find element By.id: city
16:21:12.672 INFO  manager.ListenerWD - Element found success By.id: city
16:21:12.766 INFO  manager.ListenerWD - Before find element By.id: city
16:21:12.790 INFO  manager.ListenerWD - Element found success By.id: city
16:21:12.791 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (a5c8aff6a733852ce27fdfade5df5b9a)] -> id: city]
16:21:12.826 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (a5c8aff6a733852ce27fdfade5df5b9a)] -> id: city]
16:21:13.010 INFO  manager.ListenerWD - Before find element By.cssSelector: div.pac-item
16:21:13.400 INFO  manager.ListenerWD - Element found success By.cssSelector: div.pac-item
16:21:13.401 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (a5c8aff6a733852ce27fdfade5df5b9a)] -> css selector: div.pac-item]
16:21:13.439 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (a5c8aff6a733852ce27fdfade5df5b9a)] -> css selector: div.pac-item]
16:21:13.439 INFO  manager.ListenerWD - Before find element By.id: dates
16:21:13.452 INFO  manager.ListenerWD - Element found success By.id: dates
16:21:13.452 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (a5c8aff6a733852ce27fdfade5df5b9a)] -> id: dates]
16:21:13.525 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (a5c8aff6a733852ce27fdfade5df5b9a)] -> id: dates]
16:21:13.525 INFO  manager.ListenerWD - Before find element By.xpath: /html/body/div[2]/div[1]
16:21:13.549 INFO  manager.ListenerWD - Element found success By.xpath: /html/body/div[2]/div[1]
16:21:13.549 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (a5c8aff6a733852ce27fdfade5df5b9a)] -> xpath: /html/body/div[2]/div[1]]
16:21:13.610 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (a5c8aff6a733852ce27fdfade5df5b9a)] -> xpath: /html/body/div[2]/div[1]]
16:21:13.611 INFO  manager.ListenerWD - Before find element By.id: dates
16:21:13.627 INFO  manager.ListenerWD - Element found success By.id: dates
16:21:13.627 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (a5c8aff6a733852ce27fdfade5df5b9a)] -> id: dates]
16:21:13.679 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (a5c8aff6a733852ce27fdfade5df5b9a)] -> id: dates]
16:21:13.869 INFO  manager.ListenerWD - Before find element By.xpath: /html/body/div[2]/div[1]
16:21:13.889 INFO  manager.ListenerWD - Element found success By.xpath: /html/body/div[2]/div[1]
16:21:13.889 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (a5c8aff6a733852ce27fdfade5df5b9a)] -> xpath: /html/body/div[2]/div[1]]
16:21:13.926 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (a5c8aff6a733852ce27fdfade5df5b9a)] -> xpath: /html/body/div[2]/div[1]]
16:21:14.281 INFO  manager.ListenerWD - Before find element By.xpath: //*[@type='submit']
16:21:14.303 INFO  manager.ListenerWD - Element found success By.xpath: //*[@type='submit']
16:21:14.303 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (a5c8aff6a733852ce27fdfade5df5b9a)] -> xpath: //*[@type='submit']]
16:21:14.329 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (a5c8aff6a733852ce27fdfade5df5b9a)] -> xpath: //*[@type='submit']]
16:21:14.329 INFO  manager.ListenerWD - Before find element By.cssSelector: button[disabled]
16:21:14.349 INFO  manager.ListenerWD - Element found success By.cssSelector: button[disabled]
16:21:14.349 INFO  manager.ListenerWD - Before find element By.cssSelector: button[type='submit']
16:21:14.363 INFO  manager.ListenerWD - Element found success By.cssSelector: button[type='submit']
16:21:14.371 INFO  manager.ListenerWD - Before find element By.xpath: /html/body/app-root/app-navigator/app-search/div/div/form/div[2]/div/div[1]
16:21:14.397 INFO  manager.ListenerWD - Element found success By.xpath: /html/body/app-root/app-navigator/app-search/div/div/form/div[2]/div/div[1]
16:21:14.407 INFO  manager.ListenerWD - get text from the element with text: You can't pick date before today
16:21:14.419 INFO  manager.ListenerWD - got the text successful: You can't pick date before today
16:21:14.421 INFO  tests.TestBase - ======================================
