14:23:01.687 INFO  manager.ApplicationManager - All tests run in Chrome
14:23:03.040 INFO  manager.ApplicationManager - The link--->https://ilcarro.web.app/search
14:23:03.057 INFO  manager.ListenerWD - Before find element By.xpath: //*[text()=' Logout ']
14:23:13.130 INFO  manager.ListenerWD - Element found success By.xpath: //*[text()=' Logout ']
14:23:13.132 INFO  manager.ListenerWD - Before find element By.xpath: //a[text()=' Log in ']
14:23:13.157 INFO  manager.ListenerWD - Element found success By.xpath: //a[text()=' Log in ']
14:23:13.167 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (b1477dd4fe247adbb78d57c69bb981cd)] -> xpath: //a[text()=' Log in ']]
14:23:13.254 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (b1477dd4fe247adbb78d57c69bb981cd)] -> xpath: //a[text()=' Log in ']]
14:23:13.254 INFO  manager.ListenerWD - Before find element By.xpath: //*[@id='email']
14:23:13.277 INFO  manager.ListenerWD - Element found success By.xpath: //*[@id='email']
14:23:13.278 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (b1477dd4fe247adbb78d57c69bb981cd)] -> xpath: //*[@id='email']]
14:23:13.353 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (b1477dd4fe247adbb78d57c69bb981cd)] -> xpath: //*[@id='email']]
14:23:13.546 INFO  manager.ListenerWD - Before find element By.xpath: //*[@id='password']
14:23:13.568 INFO  manager.ListenerWD - Element found success By.xpath: //*[@id='password']
14:23:13.570 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (b1477dd4fe247adbb78d57c69bb981cd)] -> xpath: //*[@id='password']]
14:23:13.609 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (b1477dd4fe247adbb78d57c69bb981cd)] -> xpath: //*[@id='password']]
14:23:13.764 INFO  manager.ListenerWD - Before find element By.xpath: //*[@type='submit']
14:23:13.789 INFO  manager.ListenerWD - Element found success By.xpath: //*[@type='submit']
14:23:13.790 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (b1477dd4fe247adbb78d57c69bb981cd)] -> xpath: //*[@type='submit']]
14:23:13.826 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (b1477dd4fe247adbb78d57c69bb981cd)] -> xpath: //*[@type='submit']]
14:23:13.826 INFO  manager.ListenerWD - Before find element By.xpath: //button[text()='Ok']
14:23:14.714 INFO  manager.ListenerWD - Element found success By.xpath: //button[text()='Ok']
