16:40:40.866 INFO  manager.ApplicationManager - All tests run in Chrome
16:40:42.537 INFO  manager.ApplicationManager - The link--->https://ilcarro.web.app/search
16:40:42.558 INFO  manager.ListenerWD - Before find element By.xpath: //*[text()=' Logout ']
16:40:52.621 INFO  manager.ListenerWD - Element found success By.xpath: //*[text()=' Logout ']
16:40:52.624 INFO  manager.ListenerWD - Before find element By.xpath: //a[text()=' Log in ']
16:40:52.650 INFO  manager.ListenerWD - Element found success By.xpath: //a[text()=' Log in ']
16:40:52.661 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> xpath: //a[text()=' Log in ']]
16:40:52.756 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> xpath: //a[text()=' Log in ']]
16:40:52.757 INFO  manager.ListenerWD - Before find element By.xpath: //*[@id='email']
16:40:52.781 INFO  manager.ListenerWD - Element found success By.xpath: //*[@id='email']
16:40:52.782 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> xpath: //*[@id='email']]
16:40:52.896 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> xpath: //*[@id='email']]
16:40:53.372 INFO  manager.ListenerWD - Before find element By.xpath: //*[@id='password']
16:40:53.401 INFO  manager.ListenerWD - Element found success By.xpath: //*[@id='password']
16:40:53.402 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> xpath: //*[@id='password']]
16:40:53.492 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> xpath: //*[@id='password']]
16:40:53.787 INFO  manager.ListenerWD - Before find element By.xpath: //*[@type='submit']
16:40:53.812 INFO  manager.ListenerWD - Element found success By.xpath: //*[@type='submit']
16:40:53.812 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> xpath: //*[@type='submit']]
16:40:53.902 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> xpath: //*[@type='submit']]
16:40:53.902 INFO  manager.ListenerWD - Before find element By.xpath: //button[text()='Ok']
16:40:55.991 INFO  manager.ListenerWD - Element found success By.xpath: //button[text()='Ok']
16:40:55.991 INFO  manager.ListenerWD - Before find element By.xpath: //button[text()='Ok']
16:40:56.022 INFO  manager.ListenerWD - Element found success By.xpath: //button[text()='Ok']
16:40:56.023 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> xpath: //button[text()='Ok']]
16:40:56.097 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> xpath: //button[text()='Ok']]
16:40:56.107 INFO  tests.TestBase - test add new car success started
16:40:56.107 INFO  tests.TestBase - test data: location-'Tel Aviv, Israel', manufacture-'Kia', model-'Sportage', year-'2020', fuel-'Gas',seats-'5', car class-'C', car number-'432-232 +i',price-'50'
16:40:56.612 INFO  manager.ListenerWD - Before find element By.xpath: //a[text()=' Let the car work ']
16:40:56.646 INFO  manager.ListenerWD - Element found success By.xpath: //a[text()=' Let the car work ']
16:40:56.647 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> xpath: //a[text()=' Let the car work ']]
16:40:56.741 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> xpath: //a[text()=' Let the car work ']]
16:40:56.741 INFO  manager.ListenerWD - Before find element By.id: pickUpPlace
16:40:56.772 INFO  manager.ListenerWD - Element found success By.id: pickUpPlace
16:40:56.773 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> id: pickUpPlace]
16:40:56.844 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> id: pickUpPlace]
16:40:57.075 INFO  manager.ListenerWD - Before find element By.cssSelector: div.pac-item
16:40:57.663 INFO  manager.ListenerWD - Element found success By.cssSelector: div.pac-item
16:40:57.664 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> css selector: div.pac-item]
16:40:57.714 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> css selector: div.pac-item]
16:40:57.715 INFO  manager.ListenerWD - Before find element By.id: make
16:40:57.748 INFO  manager.ListenerWD - Element found success By.id: make
16:40:57.748 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> id: make]
16:40:57.837 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> id: make]
16:40:58.123 INFO  manager.ListenerWD - Before find element By.id: model
16:40:58.155 INFO  manager.ListenerWD - Element found success By.id: model
16:40:58.156 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> id: model]
16:40:58.236 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> id: model]
16:40:58.502 INFO  manager.ListenerWD - Before find element By.id: year
16:40:58.535 INFO  manager.ListenerWD - Element found success By.id: year
16:40:58.536 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> id: year]
16:40:58.635 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> id: year]
16:40:59.025 INFO  manager.ListenerWD - Before find element By.id: fuel
16:40:59.063 INFO  manager.ListenerWD - Element found success By.id: fuel
16:40:59.118 INFO  manager.ListenerWD - Before find element By.xpath: .//option[@value = "Gas"]
16:40:59.154 INFO  manager.ListenerWD - Element found success By.xpath: .//option[@value = "Gas"]
16:40:59.169 INFO  manager.ListenerWD - start method click [[[[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> id: fuel]] -> xpath: .//option[@value = "Gas"]]
16:40:59.210 INFO  manager.ListenerWD - done method click on: [[[[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> id: fuel]] -> xpath: .//option[@value = "Gas"]]
16:40:59.210 INFO  manager.ListenerWD - Before find element By.id: seats
16:40:59.242 INFO  manager.ListenerWD - Element found success By.id: seats
16:40:59.243 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> id: seats]
16:40:59.325 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> id: seats]
16:40:59.763 INFO  manager.ListenerWD - Before find element By.id: class
16:40:59.785 INFO  manager.ListenerWD - Element found success By.id: class
16:40:59.786 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> id: class]
16:40:59.882 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> id: class]
16:41:00.207 INFO  manager.ListenerWD - Before find element By.id: serialNumber
16:41:00.240 INFO  manager.ListenerWD - Element found success By.id: serialNumber
16:41:00.241 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> id: serialNumber]
16:41:00.337 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> id: serialNumber]
16:41:00.672 INFO  manager.ListenerWD - Before find element By.id: price
16:41:00.705 INFO  manager.ListenerWD - Element found success By.id: price
16:41:00.707 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> id: price]
16:41:00.779 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> id: price]
16:41:01.121 INFO  manager.ListenerWD - Before find element By.id: about
16:41:01.153 INFO  manager.ListenerWD - Element found success By.id: about
16:41:01.154 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> id: about]
16:41:01.224 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (45447bf9008ccd284fb5de97d044bc67)] -> id: about]
16:41:01.348 INFO  manager.ListenerWD - Before find element By.id: photos
