20:14:47.434 INFO  manager.ApplicationManager - All tests run in Chrome
20:14:49.444 INFO  manager.ApplicationManager - The link--->https://ilcarro.web.app/search
20:14:49.463 INFO  manager.ListenerWD - Before find element By.xpath: //*[text()=' Logout ']
20:14:59.523 INFO  manager.ListenerWD - Element found success By.xpath: //*[text()=' Logout ']
20:14:59.526 INFO  manager.ListenerWD - Before find element By.xpath: //a[text()=' Log in ']
20:14:59.552 INFO  manager.ListenerWD - Element found success By.xpath: //a[text()=' Log in ']
20:14:59.564 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (8ba7a228822947ba958e1b4f3c5e768e)] -> xpath: //a[text()=' Log in ']]
20:14:59.671 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (8ba7a228822947ba958e1b4f3c5e768e)] -> xpath: //a[text()=' Log in ']]
20:14:59.671 INFO  manager.ListenerWD - Before find element By.xpath: //*[@id='email']
20:14:59.704 INFO  manager.ListenerWD - Element found success By.xpath: //*[@id='email']
20:14:59.704 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (8ba7a228822947ba958e1b4f3c5e768e)] -> xpath: //*[@id='email']]
20:14:59.817 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (8ba7a228822947ba958e1b4f3c5e768e)] -> xpath: //*[@id='email']]
20:15:00.271 INFO  manager.ListenerWD - Before find element By.xpath: //*[@id='password']
20:15:00.304 INFO  manager.ListenerWD - Element found success By.xpath: //*[@id='password']
20:15:00.304 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (8ba7a228822947ba958e1b4f3c5e768e)] -> xpath: //*[@id='password']]
20:15:00.381 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (8ba7a228822947ba958e1b4f3c5e768e)] -> xpath: //*[@id='password']]
20:15:00.691 INFO  manager.ListenerWD - Before find element By.xpath: //*[@type='submit']
20:15:00.725 INFO  manager.ListenerWD - Element found success By.xpath: //*[@type='submit']
